id,role,type,production,style_formula,notes
bg_gradient,fondo por zona de profundidad,vector 2D,canvas procedural,"flat vector minimalism, sin contornos, duotono saturado por zona, relleno plano de un solo paso, look mobile-arcade limpio",6 paletas que se interpolan cada 8 niveles
tower_core,cilindro central de la helix,vector 2D,canvas procedural,"flat vector minimalism, sin contornos, duotono saturado por zona, relleno plano de un solo paso, look mobile-arcade limpio",columna con gradiente horizontal para lectura cilindrica
platform_top,cara superior de plataforma,vector 2D tileable radial,canvas procedural,"flat vector minimalism, sin contornos, duotono saturado por zona, relleno plano de un solo paso, look mobile-arcade limpio",sector anular proyectado en elipse
platform_side,pared extruida de plataforma,vector 2D tileable radial,canvas procedural,"flat vector minimalism, sin contornos, duotono saturado por zona, relleno plano de un solo paso, look mobile-arcade limpio",misma tinta que top a 78% de luminancia
platform_danger,plataforma letal,vector 2D,canvas procedural,"flat vector minimalism, sin contornos, duotono saturado por zona, relleno plano de un solo paso, look mobile-arcade limpio",rojo fijo fuera de paleta para legibilidad inmediata
ball,pelota del jugador,vector 2D,canvas procedural,"flat vector minimalism, sin contornos, duotono saturado por zona, relleno plano de un solo paso, look mobile-arcade limpio",circulo con highlight superior y squash al impacto
fx_particles,particulas de impacto,vector 2D,canvas procedural,"flat vector minimalism, sin contornos, duotono saturado por zona, relleno plano de un solo paso, look mobile-arcade limpio",puntos del color de la plataforma golpeada
fx_passring,anillo al pasar por un hueco,vector 2D,canvas procedural,"flat vector minimalism, sin contornos, duotono saturado por zona, relleno plano de un solo paso, look mobile-arcade limpio",elipse que se expande y se desvanece
sfx_bounce,rebote,audio,WebAudio sintetizado,"blips cortos, sin cola, pitch sube con el combo",triangle 320-780 Hz, 90 ms
sfx_pass,pasar nivel,audio,WebAudio sintetizado,"blips cortos, sin cola, pitch sube con el combo",sine 900 Hz, 45 ms
sfx_fail,derrota,audio,WebAudio sintetizado,"blips cortos, sin cola, pitch sube con el combo",sawtooth descendente 400-80 Hz, 450 ms
