id,role,type,production,source,style_formula,notes
sky_gradient,cielo por tema,textura 2D,canvas procedural,generado,"minimalismo arcade 3D: superficies planas de color exacto y sin iluminar, duotono saturado por tema sobre cielo degradado, volumen por silueta y sombra de contacto, halos aditivos en lugar de post-proceso, sin contornos",8 temas; degradado vertical + resplandor bajo
env_pmrem,entorno para reflejos,cubemap,PMREM del cielo,generado,"minimalismo arcade 3D: superficies planas de color exacto y sin iluminar, duotono saturado por tema sobre cielo degradado, volumen por silueta y sombra de contacto, halos aditivos en lugar de post-proceso, sin contornos",solo lo usa la pelota: da algo que reflejar a los acabados metalicos
core_bands,columna central,textura tileable,canvas procedural,generado,"minimalismo arcade 3D: superficies planas de color exacto y sin iluminar, duotono saturado por tema sobre cielo degradado, volumen por silueta y sombra de contacto, halos aditivos en lugar de post-proceso, sin contornos",bandas verticales tenues: sin ellas el giro de la torre no se percibe
ring_sector,sector de plataforma,malla 3D,ExtrudeGeometry cacheada por angulo,generado,"minimalismo arcade 3D: superficies planas de color exacto y sin iluminar, duotono saturado por tema sobre cielo degradado, volumen por silueta y sombra de contacto, halos aditivos en lugar de post-proceso, sin contornos",prisma de sector anular; 2 grupos de material (cara exacta / pared al 72%)
hazard_stripes,plataforma letal,textura tileable,canvas procedural,generado,"minimalismo arcade 3D: superficies planas de color exacto y sin iluminar, duotono saturado por tema sobre cielo degradado, volumen por silueta y sombra de contacto, halos aditivos en lugar de post-proceso, sin contornos",rayas diagonales: el peligro se lee incluso sin color
goal_pad,plataforma de meta,malla 3D,6 sectores + halo aditivo,generado,"minimalismo arcade 3D: superficies planas de color exacto y sin iluminar, duotono saturado por tema sobre cielo degradado, volumen por silueta y sombra de contacto, halos aditivos en lugar de post-proceso, sin contornos",verde plano + halo aditivo con pulso
ball,pelota del jugador,malla 3D,SphereGeometry + MeshStandardMaterial,generado,"minimalismo arcade 3D: superficies planas de color exacto y sin iluminar, duotono saturado por tema sobre cielo degradado, volumen por silueta y sombra de contacto, halos aditivos en lugar de post-proceso, sin contornos",27 acabados por metalness/roughness/emisivo
ball_shadow,sombra de contacto de la pelota,textura 2D + plano,canvas procedural,generado,"minimalismo arcade 3D: superficies planas de color exacto y sin iluminar, duotono saturado por tema sobre cielo degradado, volumen por silueta y sombra de contacto, halos aditivos en lugar de post-proceso, sin contornos",sustituye al shadow map: no funciona sobre materiales sin iluminar y cuesta en movil
coin,moneda,malla 3D,CylinderGeometry + halo,generado,"minimalismo arcade 3D: superficies planas de color exacto y sin iluminar, duotono saturado por tema sobre cielo degradado, volumen por silueta y sombra de contacto, halos aditivos en lugar de post-proceso, sin contornos",oro plano + halo, girando en el hueco
arrow,flecha de bola de fuego,malla 3D,Cone + Cylinder + halo,generado,"minimalismo arcade 3D: superficies planas de color exacto y sin iluminar, duotono saturado por tema sobre cielo degradado, volumen por silueta y sombra de contacto, halos aditivos en lugar de post-proceso, sin contornos",verde plano + halo, flotando
glow_sprite,halo aditivo,textura 2D,canvas procedural,generado,"minimalismo arcade 3D: superficies planas de color exacto y sin iluminar, duotono saturado por tema sobre cielo degradado, volumen por silueta y sombra de contacto, halos aditivos en lugar de post-proceso, sin contornos",sustituye al bloom de post-proceso; corre en cualquier movil
spark_sprite,chispa de estela,textura 2D,canvas procedural,generado,"minimalismo arcade 3D: superficies planas de color exacto y sin iluminar, duotono saturado por tema sobre cielo degradado, volumen por silueta y sombra de contacto, halos aditivos en lugar de post-proceso, sin contornos",estela de la bola de fuego
debris,escombros de rotura,malla 3D,sectores partidos en 3 + pool de materiales,generado,"minimalismo arcade 3D: superficies planas de color exacto y sin iluminar, duotono saturado por tema sobre cielo degradado, volumen por silueta y sombra de contacto, halos aditivos en lugar de post-proceso, sin contornos",36 materiales reciclados para no compilar shaders en mitad del juego
