id,role,type,description,size/ratio,style line ref,source
car_player,player car rear-view sprite (3 lean states via skew in code),sprite,bright coral-red retro sports car seen from behind,1:1 1k key #00FF00,STYLE FORMULA v1,generate
car_rival_a,rival/traffic car sprite A,sprite,cool cobalt-blue retro sports car seen from behind,1:1 1k key #FF00FF,STYLE FORMULA v1,generate
car_rival_b,rival/traffic car sprite B,sprite,sunset-gold retro coupe car seen from behind,1:1 1k key #FF00FF,STYLE FORMULA v1,generate
palm,roadside decor sprite,sprite,tall dark palm tree with neon rim light,1:1 1k key #FF00FF,STYLE FORMULA v1,generate
billboard,roadside decor sprite,sprite,retro roadside billboard on two posts with teal and orange neon,1:1 1k key #FF00FF,STYLE FORMULA v1,generate
streetlight,roadside decor sprite,sprite,retro chrome highway streetlight with cyan glow,1:1 1k key #FF00FF,STYLE FORMULA v1,generate
bg_sky,parallax background (sky+sun+mountains+ocean),background,synthwave sunset over ocean with striped sun and dark mountain silhouettes,16:9 1k,STYLE FORMULA v1,generate
logo_title,title-screen logo,ui,chrome and neon game logo with the text NEON RUSH,1:1 1k key #00FF00,STYLE FORMULA v1,generate
nitro_orb,nitro pickup,procedural,electric-cyan glowing orb drawn in canvas code per FORMULA signal hue,64px,STYLE FORMULA v1,procedural
road,road surface,procedural,pseudo-3D road strips drawn in canvas code with FORMULA palette (dark asphalt/indigo shoulders/pink rumble),n/a,STYLE FORMULA v1,procedural
music_main,menu+race soundtrack loop,music,energetic 80s synthwave driving track,30s loop,n/a,generate
sfx_engine,engine loop (pitch follows speed),sfx,car engine steady loop,4s loop,n/a,generate
sfx_skid,tire screech on hard turn,sfx,tire skid screech,2s,n/a,generate
sfx_crash,collision hit,sfx,car crash metallic impact,1s,n/a,generate
sfx_nitro,nitro boost,sfx,turbo boost whoosh,1s,n/a,generate
sfx_chime,checkpoint/lap chime,sfx,short bright arcade chime,1s,n/a,generate
card_thumbnail,deploy card cover,image,neon rush racing key art 16:9,16:9,STYLE FORMULA v1,generate
card_favicon,deploy card icon,image,neon rush square icon,1:1,STYLE FORMULA v1,generate
