id,role,type,description,size/ratio,style line ref,source
car_hero,player car 3D model,3d,coral-red retro sports car (16k tris via concept 4e440134),GLB,STYLE FORMULA v1,generate
car_rival_a,rival car 3D model,3d,cobalt-blue retro sports car (10k tris),GLB,STYLE FORMULA v1,generate
car_rival_b,rival car 3D model,3d,sunset-gold retro coupe (10k tris),GLB,STYLE FORMULA v1,generate
person,animated spectator (rig + Cheer_with_Both_Hands_Up id298),3d,retro 80s spectator in pastel windbreaker (12k tris),GLB,STYLE FORMULA v1,generate
building_hotel,city/coast decor,3d,retro seaside hotel tower with pink neon (6k tris),GLB,STYLE FORMULA v1,generate
building_office,city decor,3d,80s chrome office block with orange neon (6k tris),GLB,STYLE FORMULA v1,generate
palm,roadside tree (instanced),3d,dark-indigo palm with hot-pink rim (5k tris),GLB,STYLE FORMULA v1,generate
arch,start/finish gantry,3d,chrome arch with neon strips (5k tris),GLB,STYLE FORMULA v1,generate
cars_pack,city traffic variants,3d,10 low-poly cars (repo asset),GLB,repo,repo:generic_passenger_car_pack.glb
pines,canyon trees,3d,3 PS1 pines alpha-cutout (repo asset),GLB,repo,repo:pine_trees_pack__ps1_low_poly.glb
truck,city traffic,3d,PSX truck (repo asset),GLB,repo,repo:psx_-_truck.glb
rusty_car,canyon roadside prop,3d,old rusty car (repo asset; Plane001 hidden),GLB,repo,repo:old_rusty_car.glb
road|grass|ground|rock|metal|concrete,PBR material sets,texture,color/normal/rough(/ao) 1024px,1:1,n/a,repo zips (ambientCG/Poliigon)
loading,loading screen art,image,rear-view hero car into striped sun,16:9,STYLE FORMULA v1,generate
menu_bg,menu background,image,garage with hero car under cyan neon,16:9,STYLE FORMULA v1,generate
billboard_a,roadside billboard art,image,VOLT energy drink retro ad,4:3,STYLE FORMULA v1,generate
billboard_b,roadside billboard art,image,SYNTH FM 88.8 radio ad,4:3,STYLE FORMULA v1,generate
skyline,city horizon cylinder,image,80s skyline panorama wrap,21:9,STYLE FORMULA v1,generate
logo,title logo,image,NEON RUSH chrome logo (reused from 2D),1:1 keyed,STYLE FORMULA v1,generate(reused)
sun|sky|glow|ocean|checker,procedural canvas textures,procedural,striped sun/gradient sky/orb glow/ocean streaks per FORMULA palette,n/a,STYLE FORMULA v1,procedural
music_main,race music loop,music,energetic synthwave (reused),30s,n/a,generate(reused)
music_menu,menu music loop,music,dreamy synthwave lo-fi,40s,n/a,generate
sfx_engine|sfx_skid|sfx_crash|sfx_nitro|sfx_chime,car & UI SFX (reused),sfx,engine loop/skid/crash/turbo/chime,1-4s,n/a,generate(reused)
sfx_crowd,start-line crowd loop (distance-attenuated),sfx,outdoor race crowd cheering,4s,n/a,generate
